CPD,OUTLIER,TOXICITY,AVERAGE_POINTS,MIN_FC,AUC,BOUNDS,CONCENTRATION,RESPONSE
cpd477,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.524,0.845,0.977,1.007,1.03,1.054,1.048,0.993"
cpd478,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.882,0.877,0.915,0.973,0.985,1.013,0.93,1.009"
cpd479,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.913,0.981,0.985,0.998,1.004,1.001,1.002,1.013"
cpd480,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.786,0.91,0.987,1.014,1.021,1.036,1.006,0.998"
cpd481,1,1,1,0, ,0.0:0.2:0.8:1.2:-3.0:-0.33,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.53,0.707,0.876,0.975,1.008,1.043,1.013,0.981"
cpd482,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.715,0.94,0.931,0.961,0.982,0.986,1.016,1.031"
cpd483,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.929,1.012,0.962,1.02,0.948,0.983,0.97,0.993"
cpd484,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.772,0.95,0.975,0.959,0.986,1.002,1.015,0.995"
cpd485,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.949,1.005,0.997,0.953,1.03,1.008,0.983,1.016"
cpd486,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.379,0.583,0.732,0.816,0.95,0.982,0.985,1.008"
cpd487,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.38,0.479,0.635,0.791,0.907,0.952,0.998,1.006"
cpd488,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.424,0.42,0.508,0.811,0.893,0.991,1.003,1.016"
cpd489,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.761,0.919,0.899,0.959,0.975,0.949,0.98,0.997"
cpd490,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.414,0.841,0.947,0.992,0.994,0.963,0.974,1.001"
cpd491,1,1,1,0, ,0.0:0.2:0.8:1.2:-3.0:-0.33,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.399,0.384,0.3081,0.416,0.692,0.924,0.946,0.986"
cpd492,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.649,0.902,1.009,1.051,1.034,1.024,1.006,1.02"
cpd493,1,1,1,0, ,0.0:0.2:0.8:1.2:-3.0:-0.33,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.429,0.452,0.722,0.909,0.965,0.952,1.026,1.005"
cpd494,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.711,0.862,0.926,0.954,0.987,0.989,0.978,0.665"
cpd495,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.802,0.94,0.899,0.978,0.969,0.997,1.003,1.014"
cpd496,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.923,0.909,0.933,0.982,0.995,0.97,1.006,1.006"
cpd497,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.55,0.648,0.728,0.852,0.983,0.977,1.008,1.023"
cpd498,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.585,0.757,0.942,0.968,1.022,1.008,1.012,1.046"
cpd499,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.801,0.921,0.986,0.995,1.039,1.033,0.968,0.989"
cpd500,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.711,0.893,0.974,0.971,1.016,0.986,1.003,0.998"
cpd501,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.905,0.954,0.993,0.983,0.941,0.992,0.99,0.98"
cpd502,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.646,0.798,0.897,0.982,0.959,1.006,1.005,1.018"
cpd503,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.982,0.995,1.021,0.985,0.988,0.989,0.952,0.971"
cpd504,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.649,0.2296,0.698,0.693,1.014,1,0.99,1.002"
cpd505,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.819,0.885,0.992,0.998,1.03,1.017,1.042,1.018"
cpd506,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.495,0.852,0.936,1.001,1.015,1.03,1.019,1"
cpd507,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.898,0.983,0.967,0.987,1.019,0.962,1.054,0.998"
cpd508,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.54,0.734,0.94,0.961,0.992,1.016,1.018,1.042"
cpd509,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.434,0.434,0.536,0.786,0.947,0.994,1.018,0.994"
cpd510,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.907,0.961,0.971,1.006,1.041,1.032,0.993,1.049"
cpd511,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.417,0.782,0.981,0.988,1.008,1.03,1.006,0.986"
cpd512,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.864,0.883,0.941,0.965,0.939,1.017,1.002,0.98"
cpd513,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.944,0.97,0.983,1.01,0.994,0.999,1.003,1.019"
cpd514,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.962,0.992,1.032,0.999,0.997,0.988,0.977,1.009"
cpd515,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.689,0.846,0.968,0.98,0.988,0.981,1.012,1.004"
cpd516,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.621,0.93,0.957,0.981,1.04,1.008,1.012,0.997"
cpd517,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.802,0.914,0.955,1.045,1.022,1.024,0.978,0.996"
cpd518,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.949,0.981,0.97,1.02,0.988,0.974,1.022,1.02"
cpd519,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.77,0.754,0.889,0.939,1.008,1.006,1.019,1.009"
cpd520,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.1805,0.2419,0.255,0.2875,0.316,0.419,0.766,0.9"
cpd521,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.932,0.952,0.977,1.016,1.017,0.993,1.02,1.027"
cpd522,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.398,0.768,0.932,0.966,1.018,0.999,1.037,1.021"
cpd523,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.747,0.898,0.978,1.017,1.001,0.998,1.016,1.005"
cpd524,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.459,0.688,0.917,0.973,0.942,0.944,1.007,0.959"
cpd525,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.735,0.804,0.882,0.941,0.979,1.005,1.007,1.025"
cpd526,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.855,0.935,0.967,0.975,0.996,0.995,1.046,0.977"
cpd527,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.776,0.906,0.993,1.002,0.975,1.035,0.975,0.979"
cpd528,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.978,1.004,1.008,1.022,1.013,1.039,1.031,1.001"
cpd529,1,1,1,0, ,,"16.667,5.556,1.8519,0.6173,0.2058,0.0686","1.027,1.024,1.013,0.999,1.031,0.991"
cpd530,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.2805,0.502,0.761,0.948,0.98,0.996,1.002,1.002"
cpd531,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.822,0.864,0.965,0.975,0.978,0.986,0.981,1.024"
cpd532,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.629,0.792,0.849,0.92,1.004,0.977,1.007,1.016"
cpd533,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.906,0.96,0.952,1.006,0.983,0.999,1,1.017"
cpd534,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.551,0.716,0.932,0.965,1.012,1.001,0.994,0.996"
cpd535,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.578,0.734,0.899,0.943,1.03,1.001,1.008,1.017"
cpd536,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.772,0.922,0.991,1.002,1.001,0.999,0.961,0.997"
cpd537,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.472,0.924,1.089,1.208,1.117,1.078,1.013,0.952"
cpd538,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.88,0.949,1.008,0.984,1.015,0.978,1.02,0.999"
cpd539,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.889,0.915,0.977,1.005,0.998,1.03,0.97,0.999"
cpd540,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.991,0.984,0.997,0.966,1.034,1.018,1.033,1.002"
cpd541,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.68,0.813,0.97,1.03,0.983,1.04,0.999,1.02"
cpd542,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.459,0.774,0.877,0.949,0.995,0.984,1.033,0.982"
cpd543,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.913,1.035,1.014,1.036,0.882,1.015,1.023,1.003"
cpd544,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.3118,0.355,0.3127,0.341,0.563,0.818,0.953,0.989"
cpd545,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.522,0.873,0.967,0.995,0.971,0.994,1.003,1.007"
cpd546,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.566,0.342,0.889,0.899,0.938,0.988,1.008,1.018"
cpd547,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.972,0.955,1.003,1.017,1.02,1.01,0.979,1.005"
cpd548,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.943,1.017,0.979,1.016,1.002,0.98,1.011,0.99"
cpd549,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.604,0.799,0.924,0.985,0.994,1.034,0.999,0.988"
cpd550,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.922,0.931,0.93,1.01,1.024,0.996,1.007,1.015"
cpd551,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.474,0.677,0.868,0.953,0.983,0.998,1.022,1.017"
cpd552,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.439,0.729,0.943,0.994,0.998,0.998,1.014,0.982"
cpd553,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.1935,0.2131,0.3047,0.535,0.819,0.957,1.004,1.031"
cpd554,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.445,0.614,0.978,0.983,1.018,1,1.001,1.006"
cpd555,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.866,0.983,0.995,1.022,1.016,0.967,1.002,1.012"
cpd556,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.437,0.643,0.836,0.931,0.984,0.989,1.011,1.013"
cpd557,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.87,0.99,0.983,0.974,0.987,0.984,1.022,1.034"
cpd558,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.2711,0.289,0.417,0.726,0.942,1.022,0.99,1.016"
cpd559,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.931,1.008,0.966,1.017,1.016,1.001,1.043,0.995"
cpd560,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.541,0.708,0.87,0.99,0.99,0.995,0.994,0.994"
cpd561,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.646,0.852,0.944,1.004,0.992,1.014,1.034,1.031"
cpd562,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.884,0.984,1.013,0.995,1.011,1.006,1.003,1.009"
cpd563,1,1,1,0, ,0.0:0.2:0.8:1.2:-3.0:-0.33,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.532,0.745,0.951,0.971,0.979,0.976,1.008,0.966"
cpd564,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.965,0.968,1.005,1.021,0.989,1.05,1.008,0.992"
cpd565,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.622,0.886,0.977,1.042,1.005,1.026,1.013,1.021"
cpd566,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.84,0.941,0.991,0.983,0.992,0.986,0.986,1.023"
cpd567,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.675,0.815,0.905,1.006,0.996,0.992,1.022,1.018"
cpd568,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.346,0.51,0.776,0.915,0.965,0.977,1.004,0.975"
cpd569,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.344,0.684,0.958,1.007,1.012,0.981,0.977,0.988"
cpd570,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.685,0.933,0.959,0.987,1.004,1,1.03,0.985"
cpd571,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.516,0.878,0.984,0.967,1.009,0.976,1.028,1.004"
cpd572,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.806,0.928,1.007,1.018,1.007,1.047,1.022,0.993"
cpd573,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.572,0.778,0.885,0.982,1,0.981,0.969,1.006"
cpd574,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.2928,0.74,0.919,0.99,1.003,0.999,1,1.03"
cpd575,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.832,0.929,1.01,1.001,0.944,1.042,0.989,1.004"
cpd576,1,1,1,0, ,,"50,16.667,5.556,1.8519,0.6173,0.2058,0.0686,0.0229","0.694,0.866,0.967,0.983,0.987,0.978,0.991,1.015"
